"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2024","1.337,40","1.242,00","1.337,40","1.235,00","1,81M","8,54%"
"28.12.2024","1.232,20","1.189,00","1.239,60","1.184,40","1,51M","3,88%"
"27.12.2024","1.186,20","1.174,40","1.191,80","1.169,40","740,58K","1,00%"
"26.12.2024","1.174,40","1.161,40","1.192,60","1.148,00","1,35M","1,08%"
"25.12.2024","1.161,80","1.128,00","1.165,00","1.118,40","1,72M","2,29%"
"24.12.2024","1.135,80","1.151,00","1.197,60","1.127,80","1,88M","-1,08%"
"23.12.2024","1.148,20","1.170,20","1.218,80","1.130,00","2,31M","-1,27%"
"20.12.2024","1.163,00","1.041,80","1.206,80","1.035,80","2,58M","11,44%"
"19.12.2024","1.043,60","1.035,80","1.059,80","1.026,00","1,33M","0,95%"
"18.12.2024","1.033,80","1.018,20","1.054,20","1.015,00","849,86K","1,71%"
"17.12.2024","1.016,40","1.012,00","1.025,00","1.005,40","817,34K","-3,60%"
"16.12.2024","1.054,40","1.087,00","1.090,20","1.050,60","951,33K","-3,37%"
"13.12.2024","1.091,20","1.083,20","1.097,20","1.076,00","501,28K","0,76%"
"12.12.2024","1.083,00","1.101,40","1.114,80","1.081,00","524,52K","-1,83%"
"11.12.2024","1.103,20","1.098,00","1.106,80","1.083,00","710,49K","0,40%"
"10.12.2024","1.098,80","1.127,40","1.128,40","1.090,40","1,05M","-2,40%"
"09.12.2024","1.125,80","1.100,00","1.128,60","1.100,00","829,91K","2,59%"
"06.12.2024","1.097,40","1.083,80","1.107,00","1.076,40","987,65K","1,46%"
"05.12.2024","1.081,60","1.058,00","1.088,80","1.040,40","1,30M","2,23%"
"04.12.2024","1.058,00","1.097,80","1.109,20","1.054,80","1,50M","-3,82%"
"03.12.2024","1.100,00","1.142,80","1.145,40","1.092,40","827,66K","-3,75%"
"02.12.2024","1.142,80","1.131,80","1.148,20","1.128,00","798,14K","1,75%"
"29.11.2024","1.123,20","1.096,00","1.131,40","1.088,40","946,61K","2,50%"
"28.11.2024","1.095,80","1.101,80","1.127,60","1.081,20","1,34M","-0,09%"
"27.11.2024","1.096,80","1.071,40","1.103,60","1.050,00","1,71M","2,31%"
"26.11.2024","1.072,00","1.103,60","1.119,00","1.051,40","1,33M","-2,67%"
"25.11.2024","1.101,40","1.131,40","1.137,00","1.094,00","712,93K","-2,57%"
"22.11.2024","1.130,40","1.121,80","1.138,00","1.106,80","852,19K","1,13%"
"21.11.2024","1.117,80","1.122,40","1.129,00","1.085,00","1,37M","-0,20%"
"20.11.2024","1.120,00","1.154,60","1.168,80","1.111,80","913,44K","-2,79%"
"19.11.2024","1.152,20","1.202,00","1.203,20","1.146,20","845,93K","-3,97%"
"18.11.2024","1.199,80","1.200,00","1.224,20","1.195,00","778,06K","-2,85%"
"15.11.2024","1.235,00","1.202,00","1.237,80","1.193,00","809,66K","2,75%"
"14.11.2024","1.202,00","1.208,60","1.229,60","1.190,20","547,52K","-0,74%"
"13.11.2024","1.211,00","1.225,60","1.243,60","1.209,80","864,01K","-1,38%"
"12.11.2024","1.228,00","1.270,00","1.270,00","1.220,20","1,27M","-3,49%"
"11.11.2024","1.272,40","1.226,20","1.274,00","1.215,00","1,66M","5,17%"
"08.11.2024","1.209,80","1.177,00","1.210,00","1.170,20","1,24M","3,05%"
"07.11.2024","1.174,00","1.160,80","1.185,20","1.141,00","794,10K","1,33%"
"06.11.2024","1.158,60","1.146,60","1.168,60","1.143,00","1,17M","2,73%"
"05.11.2024","1.127,80","1.113,40","1.133,60","1.104,00","578,72K","1,33%"
"02.11.2024","1.113,00","1.101,40","1.118,00","1.101,40","239,30K","0,89%"
"01.11.2024","1.103,20","1.085,00","1.103,40","1.076,40","907,39K","1,62%"
"31.10.2024","1.085,60","1.107,00","1.120,80","1.078,00","1,07M","-1,93%"
"30.10.2024","1.107,00","1.131,40","1.142,00","1.102,40","753,85K","-1,72%"
"29.10.2024","1.126,40","1.105,00","1.129,00","1.085,60","1,17M","2,14%"
"28.10.2024","1.102,80","1.137,00","1.137,00","1.094,20","1,26M","-3,62%"
"25.10.2024","1.144,20","1.173,40","1.178,00","1.135,20","1,20M","-2,52%"
"24.10.2024","1.173,80","1.170,00","1.179,20","1.155,00","1,17M","0,15%"
"23.10.2024","1.172,00","1.195,40","1.195,40","1.170,80","754,82K","-1,71%"
"22.10.2024","1.192,40","1.191,00","1.202,00","1.178,40","873,99K","0,22%"
"21.10.2024","1.189,80","1.194,60","1.229,00","1.181,60","2,63M","-0,20%"
"18.10.2024","1.192,20","1.189,80","1.204,40","1.170,20","1,68M","0,10%"
"17.10.2024","1.191,00","1.243,40","1.244,00","1.182,60","2,57M","-4,20%"
"16.10.2024","1.243,20","1.242,40","1.250,00","1.233,00","499,29K","0,06%"
"15.10.2024","1.242,40","1.247,60","1.265,60","1.232,40","1,25M","-0,48%"
"14.10.2024","1.248,40","1.220,00","1.254,80","1.207,60","849,75K","2,24%"
"11.10.2024","1.221,00","1.224,00","1.234,00","1.210,00","784,25K","-0,59%"
"10.10.2024","1.228,20","1.224,00","1.239,40","1.217,40","637,21K","0,34%"
"09.10.2024","1.224,00","1.239,00","1.246,80","1.206,20","766,02K","-1,21%"
"08.10.2024","1.239,00","1.220,00","1.247,60","1.204,00","914,40K","1,47%"
"07.10.2024","1.221,00","1.236,00","1.236,00","1.213,80","668,92K","-1,21%"
"04.10.2024","1.236,00","1.242,00","1.259,80","1.228,00","656,29K","-0,47%"
"03.10.2024","1.241,80","1.245,20","1.256,40","1.208,40","1,12M","-0,48%"
"02.10.2024","1.247,80","1.272,00","1.292,00","1.236,60","1,32M","-1,90%"
"01.10.2024","1.272,00","1.258,00","1.283,00","1.254,00","1,09M","1,15%"
"30.09.2024","1.257,60","1.290,00","1.315,00","1.256,60","1,03M","-2,39%"
"27.09.2024","1.288,40","1.276,60","1.293,20","1.265,00","594,76K","1,37%"
"26.09.2024","1.271,00","1.282,20","1.294,60","1.260,40","816,26K","-1,30%"
"25.09.2024","1.287,80","1.304,80","1.328,40","1.274,00","1,38M","-1,11%"
"24.09.2024","1.302,20","1.312,40","1.325,00","1.295,00","1,21M","-0,57%"
"23.09.2024","1.309,60","1.325,80","1.340,00","1.302,00","1,34M","-0,71%"
"20.09.2024","1.319,00","1.273,80","1.319,00","1.271,20","687,69K","3,55%"
"19.09.2024","1.273,80","1.274,60","1.284,80","1.259,00","792,23K","0,14%"
"18.09.2024","1.272,00","1.294,60","1.294,60","1.270,00","885,19K","-1,73%"
"17.09.2024","1.294,40","1.267,60","1.300,00","1.261,80","1,28M","2,32%"
"16.09.2024","1.265,00","1.236,40","1.269,00","1.235,00","1,05M","2,53%"
"13.09.2024","1.233,80","1.210,60","1.235,80","1.160,60","1,41M","2,10%"
"12.09.2024","1.208,40","1.203,80","1.212,40","1.181,00","965,65K","0,60%"
"11.09.2024","1.201,20","1.250,40","1.260,00","1.196,20","1,00M","-4,23%"
"10.09.2024","1.254,20","1.282,00","1.288,00","1.251,00","2,02M","-4,48%"
"09.09.2024","1.313,00","1.248,60","1.315,00","1.248,00","1,87M","5,55%"
"06.09.2024","1.244,00","1.248,60","1.258,40","1.217,00","983,25K","0,65%"
"05.09.2024","1.236,00","1.244,20","1.294,80","1.225,80","1,83M","0,10%"
"04.09.2024","1.234,80","1.244,20","1.239,60","1.175,80","1,24M","4,98%"
"03.09.2024","1.176,20","1.176,40","1.213,80","1.140,80","1,53M","0,36%"
"02.09.2024","1.172,00","1.224,20","1.232,60","1.156,20","1,40M","-4,37%"
"30.08.2024","1.225,60","1.271,40","1.278,80","1.220,20","727,33K","-3,36%"
"29.08.2024","1.268,20","1.283,00","1.286,60","1.248,20","925,80K","-0,61%"
"28.08.2024","1.276,00","1.273,00","1.276,60","1.226,20","839,51K","0,05%"
"27.08.2024","1.275,40","1.273,00","1.347,40","1.265,40","1,03M","-3,26%"
"26.08.2024","1.318,40","1.280,20","1.319,00","1.277,00","847,13K","5,15%"
"23.08.2024","1.253,80","1.285,00","1.295,60","1.240,80","1,31M","-2,94%"
"22.08.2024","1.291,80","1.324,00","1.324,00","1.286,20","661,67K","-2,21%"
"21.08.2024","1.321,00","1.337,00","1.343,00","1.310,60","488,49K","-1,11%"
"20.08.2024","1.335,80","1.345,60","1.355,80","1.327,40","623,32K","-0,49%"
"19.08.2024","1.342,40","1.375,00","1.381,80","1.340,00","594,31K","-2,37%"
"16.08.2024","1.375,00","1.384,00","1.390,00","1.371,20","372,75K","-0,51%"
"15.08.2024","1.382,00","1.387,00","1.403,20","1.380,40","455,99K","-0,48%"
"14.08.2024","1.388,60","1.387,00","1.412,80","1.385,20","495,62K","-0,96%"
"13.08.2024","1.402,00","1.390,60","1.404,60","1.389,80","703,25K","0,76%"
"12.08.2024","1.391,40","1.385,00","1.394,00","1.365,80","479,20K","0,56%"
"09.08.2024","1.383,60","1.378,20","1.395,00","1.375,20","275,67K","0,44%"
"08.08.2024","1.377,60","1.390,00","1.407,80","1.371,00","385,26K","-0,89%"
"07.08.2024","1.390,00","1.372,60","1.397,00","1.353,20","703,03K","1,28%"
"06.08.2024","1.372,40","1.378,20","1.401,40","1.356,00","815,62K","-0,07%"
"05.08.2024","1.373,40","1.394,80","1.398,80","1.365,40","908,49K","-2,29%"
"02.08.2024","1.405,60","1.408,20","1.411,60","1.392,80","665,03K","-0,40%"
"01.08.2024","1.411,20","1.423,40","1.423,80","1.410,00","349,37K","-0,86%"
"31.07.2024","1.423,40","1.423,40","1.430,00","1.411,00","682,54K","0,17%"
"30.07.2024","1.421,00","1.403,40","1.424,00","1.400,60","652,44K","1,01%"
"29.07.2024","1.406,80","1.441,00","1.441,00","1.402,80","690,21K","-2,50%"
"26.07.2024","1.442,80","1.449,20","1.465,80","1.413,80","1,13M","-0,43%"
"25.07.2024","1.449,00","1.447,20","1.457,60","1.439,00","516,72K","0,07%"
"24.07.2024","1.448,00","1.466,00","1.473,60","1.446,20","629,07K","-1,16%"
"23.07.2024","1.465,00","1.457,40","1.471,00","1.441,00","1,19M","0,26%"
"22.07.2024","1.461,20","1.457,40","1.518,40","1.456,60","2,45M","-2,74%"
"19.07.2024","1.502,40","1.506,80","1.521,40","1.456,00","2,29M","2,08%"
"18.07.2024","1.471,80","1.413,40","1.477,00","1.412,40","841,35K","4,13%"
"17.07.2024","1.413,40","1.451,00","1.453,60","1.410,20","812,97K","-2,39%"
"16.07.2024","1.448,00","1.419,20","1.455,00","1.375,80","1,80M","1,83%"
"15.07.2024","1.422,00","1.419,20","1.482,40","1.406,60","876,56K","-3,37%"
"12.07.2024","1.471,60","1.480,00","1.480,00","1.450,00","565,74K","-0,20%"
"11.07.2024","1.474,60","1.394,20","1.484,00","1.394,20","1,33M","5,81%"
"10.07.2024","1.393,60","1.451,40","1.479,60","1.392,20","1,79M","-3,89%"
