"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2024","115,5","114,5","115,8","114,4","16,45M","1,49%"
"28.12.2024","113,8","111,5","114,4","111,1","24,51M","2,49%"
"27.12.2024","111,0","109,9","111,7","109,3","21,21M","1,26%"
"26.12.2024","109,7","108,5","111,1","106,5","48,21M","1,54%"
"25.12.2024","108,0","104,7","108,7","103,5","42,67M","2,90%"
"24.12.2024","105,0","105,0","106,9","103,8","37,29M","0,00%"
"23.12.2024","105,0","107,0","108,4","104,0","53,05M","-0,08%"
"20.12.2024","105,1","95,7","106,0","95,7","53,27M","9,80%"
"19.12.2024","95,7","95,9","99,2","95,0","45,55M","0,00%"
"18.12.2024","95,7","95,4","95,9","93,0","25,84M","0,72%"
"17.12.2024","95,0","96,0","96,7","94,8","22,76M","-0,96%"
"16.12.2024","95,9","98,2","99,1","95,3","32,09M","-4,00%"
"13.12.2024","99,9","100,3","102,2","99,7","20,06M","-0,40%"
"12.12.2024","100,3","104,4","104,5","100,1","23,82M","-3,65%"
"11.12.2024","104,1","103,6","104,8","101,5","23,60M","0,48%"
"10.12.2024","103,6","106,9","106,9","103,5","23,48M","-3,05%"
"09.12.2024","106,9","108,5","109,0","106,4","21,16M","-0,87%"
"06.12.2024","107,8","108,2","109,8","106,7","24,49M","-0,33%"
"05.12.2024","108,2","104,6","108,7","102,8","33,51M","3,80%"
"04.12.2024","104,2","110,9","110,9","104,1","30,71M","-5,62%"
"03.12.2024","110,4","114,0","114,3","109,3","22,92M","-3,24%"
"02.12.2024","114,1","113,2","114,9","112,7","17,19M","1,01%"
"29.11.2024","113,0","110,6","114,0","109,7","23,19M","2,62%"
"28.11.2024","110,1","111,4","112,2","108,1","33,23M","-0,79%"
"27.11.2024","111,0","104,4","111,4","102,7","45,82M","6,61%"
"26.11.2024","104,1","103,6","106,5","101,9","26,90M","0,13%"
"25.11.2024","103,9","108,5","108,8","103,1","22,36M","-4,22%"
"22.11.2024","108,5","109,5","110,0","106,8","24,63M","-0,73%"
"21.11.2024","109,3","108,3","109,8","106,6","29,96M","0,96%"
"20.11.2024","108,3","111,2","112,0","106,0","29,18M","-2,45%"
"19.11.2024","111,0","114,6","116,1","109,5","39,99M","-3,02%"
"18.11.2024","114,5","112,2","115,8","111,7","35,03M","-0,61%"
"15.11.2024","115,2","111,5","115,5","111,3","19,91M","3,12%"
"14.11.2024","111,7","113,0","114,6","110,6","22,58M","-1,15%"
"13.11.2024","113,0","113,2","115,8","112,7","38,61M","-0,46%"
"12.11.2024","113,5","112,4","114,8","111,1","27,30M","0,76%"
"11.11.2024","112,6","112,4","113,3","110,6","28,60M","0,95%"
"08.11.2024","111,6","109,0","112,4","108,1","41,61M","1,97%"
"07.11.2024","109,4","105,8","110,5","104,7","38,57M","3,32%"
