"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2024","2.883,04","2.809,12","2.883,04","2.809,12","83,42B","3,46%"
"28.12.2024","2.786,67","2.763,48","2.798,49","2.763,48","73,07B","1,06%"
"27.12.2024","2.757,45","2.754,56","2.766,03","2.743,18","73,07B","-0,33%"
"26.12.2024","2.766,57","2.749,49","2.776,33","2.738,31","109,31B","1,23%"
"25.12.2024","2.732,83","2.680,25","2.751,11","2.666,38","147,11B","1,56%"
"24.12.2024","2.690,96","2.710,92","2.722,65","2.678,86","122,95B","-0,43%"
"23.12.2024","2.702,48","2.668,72","2.738,70","2.658,64","195,25B","2,43%"
"20.12.2024","2.638,42","2.420,45","2.652,58","2.419,65","241,59B","9,19%"
"19.12.2024","2.416,45","2.428,56","2.468,98","2.410,22","140,86B","0,29%"
"18.12.2024","2.409,35","2.394,47","2.410,19","2.380,50","57,22B","1,35%"
"17.12.2024","2.377,15","2.391,49","2.414,17","2.370,28","70,22B","-1,78%"
"16.12.2024","2.420,30","2.474,62","2.474,62","2.419,57","74,59B","-2,61%"
"13.12.2024","2.485,20","2.478,78","2.487,42","2.466,73","57,52B","-0,30%"
"12.12.2024","2.492,63","2.526,66","2.548,06","2.488,08","70,29B","-0,79%"
"11.12.2024","2.512,54","2.514,78","2.531,95","2.499,82","62,86B","-0,40%"
"10.12.2024","2.522,75","2.570,01","2.570,01","2.515,76","78,01B","-1,95%"
"09.12.2024","2.572,89","2.548,08","2.586,31","2.543,94","73,92B","1,45%"
"06.12.2024","2.536,23","2.527,04","2.552,60","2.505,90","89,32B","1,01%"
"05.12.2024","2.510,83","2.473,75","2.525,45","2.438,84","115,56B","1,01%"
"04.12.2024","2.485,62","2.538,24","2.555,99","2.482,37","86,62B","-2,13%"
"03.12.2024","2.539,64","2.585,34","2.588,87","2.523,54","77,67B","-1,82%"
"02.12.2024","2.586,74","2.584,19","2.600,28","2.578,52","81,91B","0,34%"
"29.11.2024","2.578,00","2.546,13","2.581,88","2.533,99","106,30B","1,18%"
"28.11.2024","2.547,88","2.530,87","2.560,55","2.502,00","112,72B","2,25%"
"27.11.2024","2.491,88","2.468,73","2.512,59","2.426,02","167,85B","1,12%"
"26.11.2024","2.464,35","2.521,89","2.544,83","2.455,47","130,24B","-2,62%"
"25.11.2024","2.530,69","2.583,42","2.592,89","2.517,58","90,55B","-1,95%"
"22.11.2024","2.581,05","2.617,66","2.628,50","2.577,00","86,86B","0,48%"
"21.11.2024","2.568,60","2.596,85","2.606,14","2.557,54","106,85B","-1,09%"
"20.11.2024","2.596,89","2.640,09","2.665,79","2.596,06","92,95B","-1,28%"
"19.11.2024","2.630,51","2.713,73","2.716,38","2.623,59","118,72B","-3,32%"
"18.11.2024","2.720,77","2.703,31","2.729,49","2.687,45","94,83B","-0,67%"
"15.11.2024","2.739,21","2.703,67","2.740,08","2.697,44","","1,55%"
"14.11.2024","2.697,47","2.740,53","2.740,53","2.694,56","","-2,41%"
"13.11.2024","2.763,99","2.748,61","2.771,67","2.740,17","","0,26%"
"12.11.2024","2.756,76","2.779,92","2.779,92","2.747,76","","-1,03%"
"11.11.2024","2.785,31","2.782,97","2.797,94","2.765,18","","1,86%"
"08.11.2024","2.734,56","2.721,64","2.749,62","2.713,50","","1,63%"
"07.11.2024","2.690,63","2.662,87","2.693,93","2.633,59","","1,04%"
"06.11.2024","2.662,87","2.676,85","2.712,29","2.650,60","","1,77%"
"05.11.2024","2.616,51","2.614,13","2.624,13","2.600,48","","0,85%"
"02.11.2024","2.594,38","2.579,11","2.603,10","2.579,11","","0,76%"
"01.11.2024","2.574,71","2.562,49","2.581,47","2.541,82","","0,57%"
"31.10.2024","2.560,20","2.582,47","2.593,11","2.551,20","","-2,11%"
