"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2024","893,22","870,32","893,22","870,32","83,42B","3,46%"
"28.12.2024","863,36","865,98","876,96","860,72","73,07B","-0,08%"
"27.12.2024","864,09","874,49","878,12","863,15","73,07B","-1,62%"
"26.12.2024","878,30","869,52","878,30","865,98","109,31B","1,63%"
"25.12.2024","864,25","845,41","867,76","841,04","147,11B","1,82%"
"24.12.2024","848,79","840,43","852,00","830,49","122,95B","1,31%"
"23.12.2024","837,82","821,45","843,18","818,35","195,25B","3,16%"
"20.12.2024","812,12","737,27","816,48","737,03","241,59B","10,33%"
"19.12.2024","736,06","744,38","756,77","734,16","140,86B","-0,33%"
"18.12.2024","738,50","732,35","738,75","728,08","57,22B","1,57%"
"17.12.2024","727,06","732,05","738,99","725,56","70,22B","-1,86%"
"16.12.2024","740,87","753,70","753,70","738,55","74,59B","-2,12%"
"13.12.2024","756,93","751,20","757,60","747,55","57,52B","0,20%"
"12.12.2024","755,39","770,75","777,27","754,02","70,29B","-1,44%"
"11.12.2024","766,44","791,95","797,36","765,43","62,86B","-3,53%"
"10.12.2024","794,46","814,69","814,69","792,43","78,01B","-2,59%"
"09.12.2024","815,61","807,37","819,48","806,06","73,92B","1,49%"
"06.12.2024","803,62","770,02","804,69","763,57","89,32B","5,04%"
"05.12.2024","765,08","747,62","768,11","737,06","115,56B","1,85%"
"04.12.2024","751,20","753,01","760,53","744,64","86,62B","-0,29%"
"03.12.2024","753,42","759,91","760,94","741,74","77,67B","-0,91%"
"02.12.2024","760,32","755,59","761,34","753,93","81,91B","0,87%"
"29.11.2024","753,78","731,98","753,78","728,49","106,30B","2,91%"
"28.11.2024","732,48","738,15","746,81","723,16","112,72B","0,78%"
"27.11.2024","726,78","740,24","753,40","725,27","167,85B","-1,64%"
"26.11.2024","738,93","765,43","772,40","736,27","130,24B","-3,80%"
"25.11.2024","768,11","793,39","796,30","764,13","90,55B","-3,10%"
"22.11.2024","792,67","819,05","822,45","791,42","86,86B","-1,37%"
"21.11.2024","803,70","816,27","819,20","800,24","106,85B","-1,54%"
"20.11.2024","816,29","831,40","839,49","816,03","92,95B","-1,46%"
"19.11.2024","828,38","855,37","856,21","826,96","118,72B","-3,41%"
