"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2024","199,22","193,34","200,26","193,15","9,77M","3,43%"
"28.12.2024","192,61","193,00","194,84","190,02","6,38M","0,08%"
"27.12.2024","192,45","194,59","195,20","190,15","7,75M","-0,84%"
"26.12.2024","194,08","197,07","198,85","193,18","8,59M","-1,29%"
"25.12.2024","196,61","185,70","196,99","183,35","18,62M","5,65%"
"24.12.2024","186,09","190,95","190,95","183,85","9,15M","-1,89%"
"23.12.2024","189,67","192,02","197,48","188,82","16,79M","0,62%"
"20.12.2024","188,50","179,20","191,00","177,01","22,13M","5,19%"
"19.12.2024","179,20","175,79","179,90","173,40","11,43M","2,13%"
"18.12.2024","175,47","172,00","175,90","170,00","6,08M","2,02%"
"17.12.2024","172,00","170,78","173,98","168,64","6,48M","0,21%"
"16.12.2024","171,64","175,75","176,18","171,00","6,26M","-2,48%"
"13.12.2024","176,01","175,00","176,80","174,60","3,30M","0,17%"
"12.12.2024","175,71","179,46","181,29","174,67","7,29M","-2,55%"
"11.12.2024","180,30","179,00","181,48","177,12","6,84M","0,68%"
"10.12.2024","179,08","183,50","184,14","178,50","8,33M","-2,62%"
"09.12.2024","183,89","178,56","184,81","178,56","10,39M","3,19%"
"06.12.2024","178,20","180,89","181,14","177,04","12,02M","-1,64%"
"05.12.2024","181,18","179,94","182,35","173,06","19,98M","0,71%"
"04.12.2024","179,90","183,04","187,69","177,01","12,57M","-2,08%"
"03.12.2024","183,72","191,69","192,36","182,00","10,78M","-4,19%"
"02.12.2024","191,76","185,90","192,55","185,00","9,28M","3,72%"
"29.11.2024","184,88","183,40","187,30","181,56","8,30M","0,54%"
"28.11.2024","183,88","189,00","189,03","181,20","12,91M","-1,90%"
"27.11.2024","187,45","189,40","189,49","182,00","14,31M","-0,50%"
"26.11.2024","188,39","190,00","194,50","185,20","9,63M","-0,99%"
"25.11.2024","190,28","201,00","201,00","189,80","9,99M","-4,39%"
"22.11.2024","199,01","199,00","200,78","196,58","7,88M","0,27%"
"21.11.2024","198,48","197,93","199,00","192,50","9,04M","0,52%"
"20.11.2024","197,45","199,48","202,46","194,00","13,53M","-0,82%"
"19.11.2024","199,08","204,94","206,00","198,00","6,80M","-3,05%"
"18.11.2024","205,35","203,49","208,00","202,50","6,72M","-1,83%"
