"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2024","996,00","962,40","999,60","956,20","2,12M","4,64%"
"28.12.2024","951,80","948,00","962,40","940,00","2,40M","0,27%"
"27.12.2024","949,20","949,80","959,40","934,40","2,44M","-0,06%"
"26.12.2024","949,80","929,00","969,00","916,20","4,44M","2,19%"
"25.12.2024","929,40","910,00","933,80","900,00","3,83M","1,53%"
"24.12.2024","915,40","941,80","942,60","907,40","3,42M","-3,03%"
"23.12.2024","944,00","905,00","950,00","894,40","5,25M","5,59%"
"20.12.2024","894,00","812,00","917,60","805,20","6,64M","9,77%"
"19.12.2024","814,40","785,00","817,60","780,60","4,89M","3,77%"
"18.12.2024","784,80","772,00","785,00","763,20","1,98M","1,71%"
"17.12.2024","771,60","768,40","779,20","765,20","1,42M","0,57%"
"16.12.2024","767,20","790,00","790,20","764,40","2,33M","-2,91%"
"13.12.2024","790,20","791,20","797,00","784,00","1,68M","-0,13%"
"12.12.2024","791,20","810,00","815,60","788,00","2,15M","-2,32%"
"11.12.2024","810,00","810,60","814,00","800,00","1,77M","-0,20%"
"10.12.2024","811,60","829,20","829,60","809,00","1,89M","-2,12%"
"09.12.2024","829,20","840,00","847,00","825,60","2,20M","-0,48%"
"06.12.2024","833,20","828,60","839,40","816,60","2,41M","0,34%"
"05.12.2024","830,40","803,80","832,20","782,00","4,06M","3,80%"
"04.12.2024","800,00","822,20","839,80","790,00","3,20M","-2,91%"
"03.12.2024","824,00","846,80","847,60","815,00","1,52M","-2,62%"
"02.12.2024","846,20","839,60","854,40","836,80","1,92M","1,27%"
"29.11.2024","835,60","816,00","839,00","815,00","1,92M","2,33%"
"28.11.2024","816,60","831,00","841,20","812,00","2,69M","-1,38%"
"27.11.2024","828,00","809,40","828,00","777,20","4,85M","2,50%"
"26.11.2024","807,80","822,80","836,80","803,00","3,46M","-1,82%"
"25.11.2024","822,80","823,00","831,60","805,60","4,46M","0,00%"
"22.11.2024","822,80","865,60","868,00","814,80","4,09M","-4,86%"
"21.11.2024","864,80","849,60","870,00","837,40","2,73M","2,01%"
"20.11.2024","847,80","876,00","879,80","837,00","3,24M","-3,11%"
"19.11.2024","875,00","898,00","901,00","869,00","2,14M","-2,65%"
"18.11.2024","898,80","902,00","913,20","890,40","2,11M","-2,07%"
"15.11.2024","917,80","895,60","922,00","890,00","1,58M","2,69%"
"14.11.2024","893,80","903,60","910,40","890,00","1,71M","-0,95%"
"13.11.2024","902,40","926,80","936,80","897,00","2,09M","-2,74%"
"12.11.2024","927,80","942,60","951,40","922,80","2,15M","-1,78%"
"11.11.2024","944,60","950,00","957,00","935,00","1,73M","-0,02%"
"08.11.2024","944,80","925,00","945,80","923,20","2,39M","2,34%"
"07.11.2024","923,20","895,20","924,00","883,80","1,80M","3,13%"
"06.11.2024","895,20","892,00","918,00","883,00","3,62M","3,23%"
"05.11.2024","867,20","869,80","873,60","860,40","1,13M","-0,09%"
"02.11.2024","868,00","856,80","870,20","851,40","827,10K","1,57%"
"01.11.2024","854,60","845,40","854,80","835,00","1,89M","1,28%"
"31.10.2024","843,80","860,20","867,20","838,20","2,14M","-2,11%"
"30.10.2024","862,00","870,40","883,00","861,40","1,91M","-0,39%"
"29.10.2024","865,40","868,20","879,40","851,20","2,54M","-0,35%"
"28.10.2024","868,40","897,80","897,80","861,20","3,16M","-3,87%"
"25.10.2024","903,40","922,00","931,20","898,00","3,20M","-2,02%"
"24.10.2024","922,00","928,60","931,60","910,80","2,67M","-0,73%"
"23.10.2024","928,80","959,00","961,40","923,20","2,68M","-3,31%"
"22.10.2024","960,60","958,00","968,80","950,60","1,65M","0,23%"
"21.10.2024","958,40","956,60","968,00","954,80","1,06M","0,19%"
"18.10.2024","956,60","958,60","965,00","953,80","1,04M","-0,21%"
"17.10.2024","958,60","970,60","972,60","957,20","1,13M","-1,24%"
"16.10.2024","970,60","975,00","984,40","966,80","1,34M","-0,37%"
"15.10.2024","974,20","969,00","980,60","964,60","1,48M","0,50%"
"14.10.2024","969,40","959,80","971,80","952,00","1,79M","1,21%"
"11.10.2024","957,80","955,00","962,20","953,80","1,65M","-2,82%"
"10.10.2024","985,60","977,20","991,80","977,20","1,80M","0,90%"
"09.10.2024","976,80","985,80","993,60","971,20","1,44M","-0,91%"
"08.10.2024","985,80","994,80","997,00","982,00","1,46M","-0,79%"
"07.10.2024","993,60","1.001,60","1.007,20","985,80","1,97M","-0,62%"
"04.10.2024","999,80","995,60","1.003,40","989,00","1,76M","0,62%"
"03.10.2024","993,60","980,20","995,00","972,60","2,39M","1,37%"
