"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2024","13.981,0","13.989,0","14.044,5","13.927,0","63,18K","0,39%"
"28.12.2024","13.926,0","14.140,0","14.140,0","13.840,0","112,05K","-1,51%"
"27.12.2024","14.139,0","14.001,0","14.140,0","13.982,5","92,41K","0,99%"
"26.12.2024","14.001,0","13.975,0","14.138,0","13.870,0","127,16K","0,20%"
"25.12.2024","13.973,5","13.735,0","13.990,0","13.605,5","129,46K","1,86%"
"24.12.2024","13.719,0","13.950,0","14.050,0","13.606,0","175,87K","-1,51%"
"23.12.2024","13.929,5","13.834,0","13.998,0","13.690,0","187,72K","2,42%"
"20.12.2024","13.600,0","13.351,0","13.718,0","13.265,0","305,39K","1,98%"
"19.12.2024","13.336,0","13.815,0","13.996,5","13.215,5","448,95K","-3,50%"
"18.12.2024","13.820,0","13.670,0","14.068,0","13.641,5","226,99K","1,47%"
"17.12.2024","13.620,0","13.101,0","13.620,0","13.101,0","197,78K","4,18%"
"16.12.2024","13.074,0","13.690,0","13.831,0","13.050,0","243,28K","-4,52%"
"13.12.2024","13.692,5","13.612,0","13.873,0","13.527,5","297,94K","-7,30%"
"12.12.2024","14.770,0","15.052,5","15.159,0","14.642,0","238,46K","-1,82%"
"11.12.2024","15.044,0","14.790,0","15.044,0","14.687,0","233,02K","1,81%"
"10.12.2024","14.777,0","14.837,0","14.898,5","14.520,0","246,92K","-0,15%"
"09.12.2024","14.799,0","14.400,0","14.800,0","14.360,0","193,90K","3,32%"
"06.12.2024","14.323,0","14.365,0","14.430,0","14.263,5","60,28K","0,03%"
"05.12.2024","14.319,0","14.300,0","14.414,0","14.210,0","93,52K","0,41%"
"04.12.2024","14.260,0","14.562,0","14.600,0","14.202,0","90,54K","-1,74%"
"03.12.2024","14.512,5","14.495,0","14.740,0","14.383,5","135,82K","0,57%"
"02.12.2024","14.430,0","14.125,0","14.500,0","14.125,0","123,96K","2,16%"
"29.11.2024","14.124,5","14.266,0","14.450,0","14.100,0","136,88K","-0,56%"
"28.11.2024","14.203,5","14.325,5","14.393,0","14.000,5","143,95K","-0,73%"
"27.11.2024","14.307,5","14.180,0","14.517,0","13.900,5","249,46K","0,90%"
"26.11.2024","14.180,0","14.500,0","14.500,5","13.940,0","209,37K","-2,29%"
"25.11.2024","14.513,0","14.680,0","14.948,0","14.451,5","292,23K","-1,69%"
"22.11.2024","14.762,0","14.541,5","14.850,0","14.450,0","300,41K","2,36%"
"21.11.2024","14.421,0","14.483,5","14.549,5","14.252,5","126,48K","0,08%"
"20.11.2024","14.409,0","14.450,0","14.610,0","14.216,5","116,07K","-0,06%"
"19.11.2024","14.418,0","14.650,0","14.693,5","14.352,5","169,37K","-1,05%"
"18.11.2024","14.571,0","14.302,0","14.680,0","14.268,5","235,68K","1,43%"
"15.11.2024","14.365,5","14.173,5","14.400,0","14.146,0","130,09K","1,57%"
"14.11.2024","14.143,5","14.120,0","14.223,5","13.955,5","168,38K","-0,06%"
"13.11.2024","14.152,5","14.445,0","14.545,0","14.114,5","171,80K","-1,51%"
"12.11.2024","14.370,0","14.208,5","14.477,0","13.900,0","242,51K","0,79%"
"11.11.2024","14.258,0","14.626,5","14.712,0","14.200,0","240,62K","-3,31%"
"08.11.2024","14.746,0","14.859,5","14.900,0","14.592,0","131,31K","-0,70%"
"07.11.2024","14.850,0","14.718,5","14.989,0","14.410,0","233,27K","0,89%"
"06.11.2024","14.718,5","15.288,0","15.489,5","14.570,0","451,59K","-3,37%"
"05.11.2024","15.232,0","15.252,0","15.340,0","15.174,0","139,78K","0,28%"
"02.11.2024","15.189,0","15.250,0","15.261,5","15.050,0","113,81K","0,16%"
"01.11.2024","15.164,0","14.730,0","15.176,0","14.670,0","198,15K","3,05%"
"31.10.2024","14.715,5","14.686,0","14.965,0","14.639,0","209,85K","-0,57%"
"30.10.2024","14.799,5","14.620,0","14.864,5","14.601,0","194,90K","1,80%"
"29.10.2024","14.538,0","14.411,5","14.590,0","14.170,0","228,46K","1,20%"
"28.10.2024","14.365,0","14.549,5","14.684,0","14.256,0","280,19K","-1,57%"
"25.10.2024","14.594,0","14.850,0","14.978,5","14.412,0","404,06K","-1,49%"
"24.10.2024","14.815,0","14.540,0","14.825,0","14.465,0","255,35K","2,17%"
"23.10.2024","14.500,0","14.633,5","14.900,0","14.368,0","957,71K","-0,70%"
"22.10.2024","14.602,0","14.632,0","14.826,0","14.453,0","585,66K","0,33%"
"21.10.2024","14.554,5","13.730,0","14.555,0","13.730,0","1,08M","6,70%"
"18.10.2024","13.641,0","13.542,5","13.699,0","13.542,5","95,16K","0,85%"
