"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2024","279,43","274,00","279,49","273,70","52,63M","2,42%"
"28.12.2024","272,83","271,35","273,99","270,40","39,59M","0,60%"
"27.12.2024","271,20","269,61","272,16","268,57","52,14M","0,61%"
"26.12.2024","269,56","272,00","274,25","269,10","75,74M","-0,78%"
"25.12.2024","271,69","263,62","273,00","260,31","125,54M","2,78%"
"24.12.2024","264,34","264,94","266,79","261,02","83,81M","-0,21%"
"23.12.2024","264,90","260,00","270,00","256,51","163,17M","2,83%"
"20.12.2024","257,60","229,10","258,98","228,03","235,19M","12,49%"
"19.12.2024","229,00","230,16","234,99","227,71","124,06M","-0,50%"
"18.12.2024","230,15","226,72","230,80","224,33","58,06M","1,61%"
"17.12.2024","226,50","225,60","227,49","223,72","45,89M","0,43%"
"16.12.2024","225,53","228,62","229,05","224,38","54,59M","-1,39%"
"13.12.2024","228,70","228,90","231,33","227,85","46,12M","-0,14%"
"12.12.2024","229,02","234,00","235,95","228,52","59,17M","-2,21%"
"11.12.2024","234,19","230,50","234,39","229,22","64,91M","1,46%"
"10.12.2024","230,82","238,00","238,01","230,65","58,74M","-2,73%"
"09.12.2024","237,29","239,29","240,51","236,75","52,49M","-0,23%"
"06.12.2024","237,84","233,63","238,25","231,52","81,10M","1,87%"
"05.12.2024","233,48","224,57","233,75","222,82","86,99M","3,98%"
"04.12.2024","224,55","231,00","233,79","224,30","72,42M","-2,71%"
"03.12.2024","230,80","235,29","235,97","230,26","45,32M","-1,86%"
"02.12.2024","235,17","237,02","238,70","234,32","45,14M","-0,56%"
"29.11.2024","236,49","228,48","236,99","227,55","70,30M","3,47%"
"28.11.2024","228,56","227,00","229,50","222,48","67,84M","1,00%"
"27.11.2024","226,30","223,90","226,47","219,20","112,46M","1,41%"
"26.11.2024","223,16","227,80","231,90","221,20","96,80M","-2,04%"
"25.11.2024","227,81","236,00","237,10","227,25","76,47M","-3,47%"
"22.11.2024","236,00","240,50","241,00","234,78","45,62M","-1,86%"
"21.11.2024","240,47","237,15","240,94","234,00","75,14M","1,44%"
"20.11.2024","237,05","241,82","243,59","234,74","70,35M","-1,47%"
"19.11.2024","240,59","249,03","249,83","239,62","75,47M","-3,27%"
"18.11.2024","248,72","249,00","251,94","247,30","51,56M","-1,86%"
"15.11.2024","253,43","249,31","254,43","248,05","44,20M","1,57%"
"14.11.2024","249,52","254,26","255,92","248,60","49,01M","-2,03%"
"13.11.2024","254,70","255,29","258,96","254,05","44,54M","-0,42%"
"12.11.2024","255,77","259,99","260,70","255,27","40,93M","-1,90%"
"11.11.2024","260,73","257,99","261,30","256,49","67,85M","1,86%"
"08.11.2024","255,98","251,50","255,99","250,50","58,09M","2,01%"
"07.11.2024","250,93","243,26","251,00","242,16","44,43M","3,01%"
"06.11.2024","243,60","247,00","248,56","242,05","78,97M","1,83%"
"05.11.2024","239,23","239,60","241,20","238,07","28,17M","0,11%"
"02.11.2024","238,97","237,90","240,00","237,71","14,90M","0,39%"
"01.11.2024","238,03","237,90","239,10","234,57","48,37M","0,05%"
"31.10.2024","237,90","241,40","242,80","236,23","57,27M","-1,47%"
"30.10.2024","241,45","242,70","246,22","241,11","39,83M","-0,50%"
"29.10.2024","242,66","243,20","244,60","239,88","47,13M","0,04%"
"28.10.2024","242,56","245,02","249,00","241,61","71,94M","-1,54%"
"25.10.2024","246,35","252,72","255,35","245,70","80,59M","-2,49%"
"24.10.2024","252,64","252,01","254,27","250,25","28,76M","0,25%"
"23.10.2024","252,01","255,10","255,90","251,34","30,42M","-1,34%"
"22.10.2024","255,42","258,10","258,80","255,25","17,06M","-1,08%"
"21.10.2024","258,21","257,30","259,85","256,78","21,47M","0,40%"
"18.10.2024","257,19","256,21","258,90","254,41","30,02M","0,24%"
"17.10.2024","256,57","259,50","260,45","256,03","24,66M","-1,13%"
"16.10.2024","259,50","262,05","264,72","258,45","40,21M","-0,97%"
"15.10.2024","262,03","260,94","263,70","259,84","26,25M","0,29%"
"14.10.2024","261,28","256,15","263,91","254,10","64,21M","1,69%"
"11.10.2024","256,94","259,80","260,07","256,80","24,85M","-1,17%"
"10.10.2024","259,98","260,88","261,64","258,91","17,68M","-0,34%"
"09.10.2024","260,86","262,42","263,80","259,59","25,02M","-0,59%"
"08.10.2024","262,40","263,00","263,80","261,89","16,16M","-0,38%"
"07.10.2024","263,39","264,25","267,00","261,37","28,94M","-0,27%"
"04.10.2024","264,09","264,96","265,44","262,11","25,99M","-0,06%"
"03.10.2024","264,25","259,31","264,49","257,20","56,53M","1,91%"
"02.10.2024","259,31","266,01","268,00","258,52","46,52M","-2,62%"
"01.10.2024","266,29","267,60","268,68","264,00","52,13M","-0,82%"
"30.09.2024","268,49","269,26","272,33","268,14","42,52M","0,16%"
"27.09.2024","268,07","268,90","269,70","267,17","18,89M","0,07%"
"26.09.2024","267,88","267,54","269,76","265,41","31,89M","0,03%"
"25.09.2024","267,80","272,92","273,80","267,30","43,80M","-1,88%"
"24.09.2024","272,92","273,90","273,94","270,50","36,98M","-0,09%"
"23.09.2024","273,17","269,30","273,80","269,30","49,40M","1,52%"
"20.09.2024","269,08","264,52","269,21","264,50","38,77M","1,73%"
"19.09.2024","264,50","263,94","266,19","262,32","35,68M","0,42%"
"18.09.2024","263,40","265,73","267,99","263,15","43,38M","-0,97%"
"17.09.2024","265,99","264,12","267,00","260,55","57,57M","0,83%"
"16.09.2024","263,79","259,64","264,37","257,80","52,64M","2,15%"
"13.09.2024","258,25","255,19","259,92","248,75","111,18M","1,30%"
"12.09.2024","254,93","257,80","258,68","252,85","46,36M","-1,27%"
"11.09.2024","258,20","260,31","262,00","257,50","38,29M","-1,18%"
"10.09.2024","261,29","264,61","264,61","258,70","57,94M","-0,77%"
"09.09.2024","263,31","256,32","263,45","255,30","66,13M","3,40%"
"06.09.2024","254,66","253,01","255,35","250,33","41,34M","0,76%"
"05.09.2024","252,75","255,00","258,16","251,31","78,62M","-0,10%"
"04.09.2024","253,00","244,51","253,45","242,80","70,65M","3,67%"
"03.09.2024","244,05","244,40","250,00","240,02","105,67M","-0,11%"
"02.09.2024","244,31","254,03","254,03","242,68","97,66M","-3,99%"
"30.08.2024","254,45","260,50","261,53","254,01","46,12M","-2,25%"
"29.08.2024","260,31","262,58","264,07","258,44","34,80M","-0,80%"
"28.08.2024","262,42","259,90","262,42","256,10","47,87M","0,78%"
"27.08.2024","260,40","265,83","265,95","259,84","32,35M","-1,84%"
"26.08.2024","265,29","263,55","266,94","261,55","49,97M","2,20%"
"23.08.2024","259,57","261,61","262,13","256,66","76,72M","-0,84%"
"22.08.2024","261,78","266,93","268,41","260,29","47,91M","-1,93%"
"21.08.2024","266,93","266,20","267,78","263,93","37,13M","0,26%"
"20.08.2024","266,25","266,20","269,49","263,44","54,28M","-0,70%"
"19.08.2024","268,13","268,35","275,53","265,13","68,63M","-2,36%"
"16.08.2024","274,61","278,05","278,95","274,33","26,20M","-1,06%"
"15.08.2024","277,54","280,50","280,81","276,75","28,67M","-1,02%"
"14.08.2024","280,39","284,30","284,67","280,26","21,76M","-1,24%"
"13.08.2024","283,91","281,05","284,29","280,45","24,06M","1,11%"
"12.08.2024","280,79","280,01","281,37","278,06","27,77M","-0,22%"
"09.08.2024","281,42","281,00","282,58","279,74","22,30M","0,12%"
"08.08.2024","281,08","283,40","285,35","280,00","42,43M","-0,34%"
"07.08.2024","282,05","280,00","283,00","277,21","48,49M","0,93%"
"06.08.2024","279,44","277,01","281,05","276,37","43,60M","1,43%"
"05.08.2024","275,49","282,79","283,36","275,24","82,14M","-3,69%"
"02.08.2024","286,05","287,21","287,94","284,38","30,09M","-0,40%"
"01.08.2024","287,21","289,87","290,69","287,07","18,65M","-0,72%"
"31.07.2024","289,30","289,87","291,00","288,17","25,97M","-0,24%"
"30.07.2024","290,00","286,50","291,99","284,66","42,57M","1,25%"
"29.07.2024","286,43","293,00","292,26","286,00","52,45M","-2,31%"
"26.07.2024","293,20","293,00","300,00","292,67","84,91M","-1,09%"
"25.07.2024","296,44","295,69","297,30","294,20","22,87M","0,30%"
"24.07.2024","295,56","294,39","296,65","293,25","24,57M","0,40%"
"23.07.2024","294,39","295,47","295,44","293,40","22,19M","-0,11%"
"22.07.2024","294,72","295,47","294,95","291,00","33,39M","1,65%"
"19.07.2024","289,93","290,67","292,55","289,21","31,02M","0,07%"
"18.07.2024","289,74","290,67","289,99","282,87","34,09M","1,77%"
"17.07.2024","284,69","285,84","289,94","283,30","42,82M","-0,20%"
"16.07.2024","285,25","285,84","285,65","276,72","82,87M","0,31%"
"15.07.2024","284,37","293,00","293,83","283,60","58,74M","-2,76%"
"12.07.2024","292,45","296,00","297,19","290,97","50,00M","-1,16%"
"11.07.2024","295,87","296,00","296,97","285,31","168,03M","-6,60%"
"10.07.2024","316,77","289,96","320,17","314,30","88,51M","-1,01%"
"09.07.2024","320,00","319,00","325,30","317,57","54,20M","-1,26%"
"08.07.2024","324,07","325,76","327,34","323,74","27,76M","-0,32%"
"05.07.2024","325,11","325,76","326,87","321,19","40,43M","0,14%"
"04.07.2024","324,66","328,39","329,48","323,85","40,77M","-1,08%"
"03.07.2024","328,20","328,39","330,43","327,52","32,16M","-0,05%"
"02.07.2024","328,35","327,35","328,86","326,90","21,16M","0,38%"
"01.07.2024","327,10","327,64","329,00","326,25","31,71M","-0,02%"
"28.06.2024","327,15","327,87","329,28","325,85","40,45M","0,01%"
"27.06.2024","327,12","324,80","327,83","322,70","46,77M","0,79%"
"26.06.2024","324,55","320,10","324,56","319,80","","0,02%"
"26.06.2024","324,50","320,10","324,50","320,67","","1,47%"
"25.06.2024","319,80","317,50","319,89","316,28","","0,80%"
"24.06.2024","317,25","314,70","319,00","314,14","","0,15%"
"24.06.2024","316,77","314,70","317,19","316,24","","0,84%"
"21.06.2024","314,14","315,00","316,00","312,60","","0,00%"
"20.06.2024","314,15","310,70","314,72","306,02","","0,04%"
"20.06.2024","314,03","310,70","314,72","306,02","70,88M","1,07%"
"19.06.2024","310,70","314,38","314,78","307,51","","0,00%"
"19.06.2024","310,70","314,38","314,78","307,51","42,18M","-1,16%"
"18.06.2024","314,34","317,65","318,00","313,02","","0,00%"
"18.06.2024","314,34","317,65","318,00","313,02","22,02M","-1,04%"
"17.06.2024","317,65","320,00","320,45","316,85","","0,00%"
"17.06.2024","317,65","320,00","320,45","316,85","15,48M","-0,53%"
"14.06.2024","319,35","317,80","320,70","316,20","","0,00%"
"14.06.2024","319,35","317,80","320,69","316,45","21,49M","0,52%"
"13.06.2024","317,71","305,70","317,82","304,14","","0,00%"
"13.06.2024","317,71","305,70","317,82","305,06","41,28M","-0,03%"
