date,value
2024-12-29,106.1028
2024-12-28,105.9522
2024-12-27,103.2997
2024-12-26,103.9416
2024-12-25,104.231
2024-12-24,105.2512
2024-12-21,106.5444
2024-12-20,107.9576
2024-12-19,108.5083
2024-12-18,108.3444
2024-12-17,108.7016
2024-12-14,109.0126
2024-12-13,110.4804
2024-12-12,108.5588
2024-12-11,106.2024
2024-12-10,105.0996
2024-12-07,106.304
2024-12-06,109.7802
2024-12-05,110.2041
2024-12-04,112.02
2024-12-03,112.8019
2024-11-30,114.3149
2024-11-29,116.141
2024-11-28,113.0947
2024-11-27,110.4943
2024-11-26,108.8705
2024-11-23,107.4252
2024-11-22,106.0762
2024-11-21,105.809
2024-11-20,105.7338
2024-11-19,105.4606
2024-11-16,105.7072
2024-11-15,104.5016
2024-11-14,104.2901
2024-11-13,104.2533
2024-11-12,104.8522
2024-11-09,105.451
2024-11-08,105.5679
2024-11-07,105.7086
2024-11-06,106.8883
2024-11-03,106.1426
2024-11-02,105.8415
2024-11-01,105.5231
2024-10-31,105.2211
2024-10-30,105.4375
2024-10-29,105.2229
2024-10-26,104.8094
2024-10-25,104.5139
2024-10-24,104.3815
2024-10-23,104.866
2024-10-22,104.4016
2024-10-19,104.8565
2024-10-18,105.756
2024-10-17,106.0844
2024-10-16,105.6757
2024-10-15,105.4854
2024-10-12,105.1095
2024-10-11,106.5074
2024-10-10,106.4175
2024-10-09,105.6891
2024-10-08,105.3069
2024-10-05,104.7424
2024-10-04,104.8664
2024-10-03,104.4481
2024-10-02,103.6502
2024-10-01,104.1735
2024-09-28,103.4694
2024-09-27,103.1931
2024-09-26,103.4758
2024-09-25,103.41
2024-09-24,103.2191
2024-09-21,103.3773
2024-09-20,103.249
2024-09-19,102.039
2024-09-18,101.5057
2024-09-17,101.2789
2024-09-14,100.7958
2024-09-13,100.3907
2024-09-12,100.7421
2024-09-11,100.4995
2024-09-10,99.9067
2024-09-07,99.7156
2024-09-06,99.1927
2024-09-05,98.0725
2024-09-04,97.8121
2024-09-03,99.2613
2024-08-31,100.7622
2024-08-30,101.7714
2024-08-29,102.0798
2024-08-28,102.2911
2024-08-27,102.4927
2024-08-24,101.6125
2024-08-23,101.6207
2024-08-22,101.9508
2024-08-21,100.204
2024-08-20,98.9355
2024-08-17,97.839
2024-08-16,98.3232
2024-08-15,100.3139
2024-08-14,100.559
2024-08-13,96.6852
2024-08-10,95.1844
2024-08-09,94.1333
2024-08-08,93.8419
2024-08-07,93.0265
2024-08-06,93.0409
2024-08-03,92.8291
2024-08-02,92.8499
2024-08-01,93.5149
2024-07-31,93.2947
2024-07-30,94.1381
2024-07-27,93.2641
2024-07-26,93.1711
2024-07-25,94.3758
2024-07-24,95.4598
2024-07-23,95.7591
2024-07-20,96.0371
2024-07-19,96.1018
2024-07-18,96.3046
2024-07-17,96.2637
2024-07-16,95.7849
2024-07-13,95.7588
2024-07-12,95.6817
2024-07-11,95.3206
2024-07-10,95.3447
2024-07-09,95.6624
2024-07-06,95.57
2024-07-05,94.9836
2024-07-04,94.5829
2024-07-03,93.695
2024-07-02,93.9582
2024-06-29,92.4184
2024-06-28,90.9874
2024-06-27,94.1131
2024-06-26,93.7347
2024-06-25,94.0759
2024-06-22,94.2606
2024-06-21,91.4543
2024-06-20,89.0914
2024-06-19,93.2994
2024-06-18,95.3906
2024-06-15,95.1514
2024-06-14,94.8324
2024-06-12,95.7391
2024-06-11,95.6367
2024-06-08,96.6916
2024-06-07,96.5698
2024-06-06,96.4443
2024-06-05,96.563
2024-06-04,96.8721
2024-06-01,97.7908
2024-05-31,97.1347
2024-05-30,96.891
2024-05-29,96.2383
2024-05-28,96.3034
2024-05-25,97.0954
2024-05-24,97.8788
2024-05-23,97.8989
2024-05-22,98.2971
2024-05-21,98.5842
2024-05-18,98.7776
2024-05-17,98.8978
2024-05-16,98.8267
2024-05-15,98.6682
2024-05-14,98.8486
2024-05-09,98.9461
2024-05-08,98.3062
2024-05-07,98.473
2024-05-04,98.5602
2024-05-03,98.6447
2024-04-28,98.027
2024-04-27,98.7187
2024-04-26,98.7079
2024-04-25,98.9118
2024-04-24,99.5609
2024-04-23,99.3648
2024-04-20,99.5797
2024-04-19,100.5316
2024-04-18,100.2787
2024-04-17,99.9341
2024-04-16,99.7934
2024-04-13,99.7264
2024-04-12,100.6793
2024-04-11,101.2333
2024-04-10,100.7473
2024-04-09,100.2236
2024-04-06,100.1259
2024-04-05,100.0668
2024-04-04,99.4277
2024-04-03,99.4116
2024-04-02,99.5661
2024-03-30,99.5299
2024-03-29,99.7057
2024-03-28,100.2704
2024-03-27,100.4121
2024-03-26,100.3651
2024-03-23,100.217
2024-03-22,100.365
2024-03-21,100.6139
2024-03-20,100.1047
2024-03-19,100.2432
2024-03-16,99.9718
2024-03-15,100.2625
2024-03-14,100.1869
2024-03-13,99.3561
2024-03-12,99.1317
2024-03-08,98.8767
2024-03-07,98.2017
2024-03-06,98.9366
2024-03-05,99.1061
2024-03-02,98.7225
2024-03-01,98.5447
2024-02-29,99.45
2024-02-28,99.9214
2024-02-27,100.1776
2024-02-23,100.4425
2024-02-22,99.8968
2024-02-21,99.5589
2024-02-20,99.4889
2024-02-17,99.3523
2024-02-16,98.4099
2024-02-15,97.8133
2024-02-14,98.1917
2024-02-13,98.1512
2024-02-10,97.9364
2024-02-09,98.3543
2024-02-08,98.0936
2024-02-07,97.444
2024-02-06,98.2279
2024-02-03,98.6437
2024-02-02,97.4009
2024-02-01,97.1149
2024-01-31,96.7895
2024-01-30,96.9777
2024-01-27,97.0945
2024-01-26,96.6365
2024-01-25,96.1657
2024-01-24,95.8266
2024-01-23,95.8854
2024-01-20,96.3835
2024-01-19,96.5882
2024-01-18,96.0531
2024-01-17,95.6007
2024-01-16,96.0682
2024-01-13,96.7517
2024-01-12,97.5401
2024-01-11,97.8745
2024-01-10,98.9825
2023-12-30,99.1919
2023-12-29,100.5506
2023-12-28,101.3451
2023-12-27,101.1178
2023-12-26,101.5781
2023-12-23,101.2863
2023-12-22,100.5113
2023-12-21,99.048
2023-12-20,98.5764
2023-12-19,98.7578
2023-12-16,98.4186
2023-12-15,97.7377
2023-12-14,96.95
2023-12-13,97.403
2023-12-12,98.0769
2023-12-09,98.8409
2023-12-08,99.8131
2023-12-07,100.1353
2023-12-06,99.134
2023-12-05,98.5768
2023-12-02,97.9126
2023-12-01,96.8827
